Participant ID,1_PANAS_qn0,1_PANAS_qn1,1_PANAS_qn2,1_PANAS_qn3,1_PANAS_qn4,1_PANAS_qn5,1_PANAS_qn6,1_PANAS_qn7,1_PANAS_qn8,1_PANAS_qn9,2_PANAS_qn10,2_PANAS_qn11,2_PANAS_qn12,2_PANAS_qn13,2_PANAS_qn14,2_PANAS_qn15,2_PANAS_qn16,2_PANAS_qn17,2_PANAS_qn18,2_PANAS_qn19,2_PANAS_qn20
242,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
243,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Moderately (3),Extremely (5),A little (2),Moderately (3),Moderately (3)
244,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
245,Quite a bit (4),A little (2),,Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Moderately (3),A little (2),A little (2),A little (2),A little (2),Moderately (3),A little (2),A little (2),A little (2),Very slightly or not at all (1) 
246,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
247,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),Quite a bit (4),A little (2),Moderately (3)
248,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Quite a bit (4),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) 
249,Quite a bit (4),A little (2),A little (2),Extremely (5),A little (2),Quite a bit (4),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),Quite a bit (4),A little (2),Moderately (3),Moderately (3),Quite a bit (4),Moderately (3),Quite a bit (4),Moderately (3),A little (2)
250,Extremely (5),Moderately (3),Moderately (3),Extremely (5),Quite a bit (4),Quite a bit (4),A little (2),A little (2),A little (2),Moderately (3),Moderately (3),Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),Extremely (5),Extremely (5),Quite a bit (4),Quite a bit (4),Quite a bit (4),A little (2)
251,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
252,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Extremely (5),Quite a bit (4),Moderately (3),Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Moderately (3),A little (2),Moderately (3),Moderately (3)
253,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
254,A little (2),Moderately (3),A little (2),Extremely (5),A little (2),A little (2),Moderately (3),Moderately (3),A little (2),A little (2),A little (2),Quite a bit (4),Quite a bit (4),A little (2),A little (2),Moderately (3),A little (2),Quite a bit (4),Moderately (3),A little (2),Moderately (3)
255,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),A little (2)
256,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
257,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Moderately (3),Moderately (3),A little (2),Quite a bit (4),A little (2),Moderately (3),Moderately (3),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2)
258,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Moderately (3),A little (2),A little (2),Moderately (3),Moderately (3),Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) 
259,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),Moderately (3),A little (2),A little (2),A little (2),Quite a bit (4),Moderately (3),Extremely (5),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Extremely (5),Extremely (5),Moderately (3),A little (2),Very slightly or not at all (1) 
260,Moderately (3),Moderately (3),Moderately (3),Extremely (5),A little (2),A little (2),Moderately (3),A little (2),A little (2),Quite a bit (4),A little (2),A little (2),A little (2),Moderately (3),Moderately (3),A little (2),A little (2),A little (2),Moderately (3),A little (2),A little (2)
261,Quite a bit (4),Moderately (3),Moderately (3),Extremely (5),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2)
263,Quite a bit (4),Quite a bit (4),A little (2),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),Moderately (3),A little (2),A little (2),Quite a bit (4),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2)
264,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
265,Moderately (3),Quite a bit (4),A little (2),Extremely (5),Moderately (3),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),Moderately (3),A little (2),Moderately (3),Extremely (5),Moderately (3),A little (2),Moderately (3),A little (2),Quite a bit (4)
266,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Quite a bit (4),Extremely (5),A little (2),Moderately (3),Quite a bit (4),Extremely (5),Quite a bit (4),Extremely (5),Quite a bit (4),Moderately (3),Moderately (3),Extremely (5),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) 
267,Quite a bit (4),A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Quite a bit (4),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),Moderately (3),Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),A little (2)
268,Moderately (3),A little (2),A little (2),Extremely (5),A little (2),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3)
269,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
270,Extremely (5),Moderately (3),Moderately (3),Extremely (5),Moderately (3),Moderately (3),Moderately (3),Moderately (3),Moderately (3),Moderately (3),Moderately (3),A little (2),Moderately (3),A little (2),Moderately (3),A little (2),Moderately (3),Moderately (3),Moderately (3),A little (2),A little (2)
271,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
272,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Extremely (5),Quite a bit (4),A little (2),,Very slightly or not at all (1) ,Moderately (3),A little (2),Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2)
273,Moderately (3),A little (2),Moderately (3),Extremely (5),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Quite a bit (4),A little (2),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Moderately (3)
275,Moderately (3),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),Moderately (3),A little (2),Moderately (3),Moderately (3),Quite a bit (4),Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2)
277,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Moderately (3),Very slightly or not at all (1) ,A little (2),Quite a bit (4),A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),A little (2),Moderately (3),A little (2),Quite a bit (4),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2)
278,Moderately (3),Quite a bit (4),A little (2),Extremely (5),A little (2),A little (2),Moderately (3),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),A little (2),Moderately (3),Quite a bit (4),Moderately (3),Quite a bit (4),A little (2),A little (2)
279,Moderately (3),A little (2),A little (2),Extremely (5),A little (2),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Moderately (3),A little (2),A little (2),A little (2),Moderately (3),Moderately (3),A little (2),A little (2),A little (2)
282,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),Moderately (3),A little (2),A little (2),Moderately (3),Quite a bit (4),Moderately (3),Moderately (3),Moderately (3),A little (2)
283,Moderately (3),A little (2),Moderately (3),Extremely (5),Moderately (3),A little (2),Moderately (3),A little (2),A little (2),Quite a bit (4),A little (2),Moderately (3),Moderately (3),A little (2),Quite a bit (4),A little (2),Moderately (3),Moderately (3),A little (2),Moderately (3),A little (2)
285,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
286,Quite a bit (4),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Moderately (3),Moderately (3),Quite a bit (4),Very slightly or not at all (1) 
287,Moderately (3),A little (2),Very slightly or not at all (1) ,Extremely (5),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
288,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
289,Quite a bit (4),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
290,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
291,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),A little (2),Very slightly or not at all (1) 
292,Quite a bit (4),Moderately (3),Quite a bit (4),Extremely (5),Moderately (3),Quite a bit (4),Moderately (3),Moderately (3),Quite a bit (4),Quite a bit (4),Moderately (3),Moderately (3),Quite a bit (4),Moderately (3),Quite a bit (4),Moderately (3),Quite a bit (4),Quite a bit (4),Moderately (3),Quite a bit (4),Moderately (3)
293,Moderately (3),A little (2),A little (2),Extremely (5),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),Moderately (3),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2)
294,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),,A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Very slightly or not at all (1) 
295,A little (2),A little (2),Very slightly or not at all (1) ,Extremely (5),Moderately (3),A little (2),Moderately (3),Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Extremely (5),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3)
296,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),A little (2),Extremely (5),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
297,Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
298,Quite a bit (4),Moderately (3),Moderately (3),Extremely (5),A little (2),A little (2),A little (2),Quite a bit (4),Moderately (3),Moderately (3),Quite a bit (4),Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),A little (2),Quite a bit (4),Quite a bit (4),Moderately (3)
299,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) 
300,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),A little (2),Moderately (3),A little (2),Quite a bit (4),A little (2),Moderately (3),Moderately (3),Quite a bit (4),Moderately (3),A little (2)
301,Moderately (3),Quite a bit (4),A little (2),Extremely (5),Quite a bit (4),Moderately (3),Quite a bit (4),Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Extremely (5),A little (2),Moderately (3),Moderately (3),Moderately (3),A little (2),A little (2),Moderately (3)
302,Quite a bit (4),Extremely (5),A little (2),Extremely (5),Quite a bit (4),Moderately (3),Quite a bit (4),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Moderately (3),Moderately (3),Quite a bit (4),Moderately (3),Moderately (3),Moderately (3),Moderately (3),A little (2)
303,A little (2),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
304,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Moderately (3),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) 
305,Extremely (5),Very slightly or not at all (1) ,A little (2),Extremely (5),A little (2),Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
306,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) 
307,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
308,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
309,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
310,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) 
311,Extremely (5),A little (2),Extremely (5),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
312,Quite a bit (4),A little (2),A little (2),Extremely (5),A little (2),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Quite a bit (4),A little (2),Moderately (3),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),A little (2)
314,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Extremely (5),Moderately (3),A little (2),A little (2),A little (2),A little (2),A little (2),A little (2),A little (2),Moderately (3),A little (2),A little (2),A little (2),A little (2),Moderately (3),A little (2),Moderately (3),A little (2)
315,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
316,Quite a bit (4),Quite a bit (4),Quite a bit (4),Extremely (5),Extremely (5),Moderately (3),Extremely (5),Extremely (5),Extremely (5),Moderately (3),Quite a bit (4),Quite a bit (4),A little (2),Extremely (5),Moderately (3),Quite a bit (4),Quite a bit (4),Quite a bit (4),Quite a bit (4),A little (2),Extremely (5)
318,A little (2),A little (2),Very slightly or not at all (1) ,Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Quite a bit (4),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),Moderately (3),A little (2)
319,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
320,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Quite a bit (4),A little (2),A little (2),A little (2)
321,Quite a bit (4),Moderately (3),Quite a bit (4),Extremely (5),Moderately (3),A little (2),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Quite a bit (4),A little (2),A little (2),Quite a bit (4),A little (2),Quite a bit (4),A little (2),Moderately (3),Moderately (3)
322,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Moderately (3),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) 
323,Quite a bit (4),Quite a bit (4),Moderately (3),Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Quite a bit (4),Extremely (5),Moderately (3),Moderately (3),Quite a bit (4),Quite a bit (4),Quite a bit (4),Quite a bit (4),Quite a bit (4)
325,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
